date,value,weather_temp_mean,weather_precip_sum,weather_wind_mean,holiday_count,is_weekend,weather_temp_mean_lag1,weather_temp_mean_lag7,weather_precip_sum_lag1,weather_precip_sum_lag7,weather_wind_mean_lag1,weather_wind_mean_lag7,holiday_count_lag1,holiday_count_lag7,is_weekend_lag1,is_weekend_lag7,dow_sin,dow_cos,doy_sin,doy_cos,value_lag1,value_lag7,value_lag14,value_roll_mean_7,value_roll_mean_14,Days,target,predictor,var1,var2,Industrial_Production,Consumer_Price_Index,Oil,API_WELLNO,ReportDate
2022-09-14,98.54100370386747,22.1,0.0,10.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,-0.9578523554276669,-0.28726097055059635,0.0,0.0,0.0,0.0,0.0,0,98.54100370386747,0.0,98.54100370386747,0.0,98.54100370386747,0.0,98.54100370386747,entity_001,2022-09-14
2022-09-15,81.06572586242379,21.7,0.0,8.8,0,0,22.1,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.9626519747161487,-0.2707418984477642,98.54100370386747,0.0,0.0,0.0,0.0,1,81.06572586242379,98.54100370386747,81.06572586242379,98.54100370386747,81.06572586242379,98.54100370386747,81.06572586242379,entity_001,2022-09-15
2022-09-16,82.37826049176054,22.0,0.4,10.0,0,0,21.7,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.9671667297977312,-0.2541427094613622,81.06572586242379,0.0,0.0,0.0,0.0,2,82.37826049176054,81.06572586242379,82.37826049176054,81.06572586242379,82.37826049176054,81.06572586242379,82.37826049176054,entity_001,2022-09-16
2022-09-17,70.46119536085665,21.9,0.0,8.8,0,1,22.0,0.0,0.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.97139528468375,-0.23746831555846842,82.37826049176054,0.0,0.0,0.0,0.0,3,70.46119536085665,82.37826049176054,70.46119536085665,82.37826049176054,70.46119536085665,82.37826049176054,70.46119536085665,entity_001,2022-09-17
2022-09-18,74.16938575895345,21.9,0.1,7.0,0,1,21.9,0.0,0.0,0.0,8.8,0.0,0.0,0.0,1.0,0.0,-0.7818314824680299,0.6234898018587334,-0.9753363880767837,-0.2207236509605022,70.46119536085665,0.0,0.0,0.0,0.0,4,74.16938575895345,70.46119536085665,74.16938575895345,70.46119536085665,74.16938575895345,70.46119536085665,74.16938575895345,entity_001,2022-09-18
2022-09-19,74.73514968987149,22.3,0.0,8.9,0,0,21.9,0.0,0.1,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.9789888737409319,-0.20391367068311472,74.16938575895345,0.0,0.0,0.0,0.0,5,74.73514968987149,74.16938575895345,74.73514968987149,74.16938575895345,74.73514968987149,74.16938575895345,74.73514968987149,entity_001,2022-09-19
2022-09-20,85.21967190303018,23.0,0.1,7.9,0,0,22.3,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.9823516608469237,-0.18704334906991657,74.73514968987149,0.0,0.0,80.9386275386805,0.0,6,85.21967190303018,74.73514968987149,85.21967190303018,74.73514968987149,85.21967190303018,74.73514968987149,85.21967190303018,entity_001,2022-09-20
2022-09-21,78.3293700441226,22.7,1.6,9.0,0,0,23.0,22.1,0.1,0.0,7.9,10.6,0.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,-0.9854237542919524,-0.17011767832049052,85.21967190303018,98.54100370386747,0.0,78.0512513015741,0.0,7,78.3293700441226,85.21967190303018,78.3293700441226,85.21967190303018,78.3293700441226,85.21967190303018,78.3293700441226,entity_001,2022-09-21
2022-09-22,87.63659875851043,22.5,0.5,9.5,0,0,22.7,21.7,1.6,0.0,9.0,8.8,0.0,0.0,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.9882042449941422,-0.15314166701312007,78.3293700441226,81.06572586242379,0.0,78.98994742958646,0.0,8,87.63659875851043,78.3293700441226,87.63659875851043,78.3293700441226,87.63659875851043,78.3293700441226,87.63659875851043,entity_001,2022-09-22
2022-09-23,73.03627201962124,22.4,0.0,7.9,0,0,22.5,22.0,0.5,0.4,9.5,10.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.9906923101615609,-0.13612033862266704,87.63659875851043,82.37826049176054,0.0,77.65537764785229,0.0,9,73.03627201962124,87.63659875851043,73.03627201962124,87.63659875851043,73.03627201962124,87.63659875851043,73.03627201962124,entity_001,2022-09-23
